entity_id,classkind,code,blockid,chapterno
400097321,category,2D85,,2
654028876,category,2D86,,2
,category,2D8Y,,2
,category,2D8Z,,2
1668567256,block,,BlockL3-2D9,2
181975334,category,2D90,,2
1523083931,category,2D91,,2
97145147,block,,BlockL3-2E0,2
1764345431,category,2E00,,2
207752131,category,2E01,,2
1227965214,category,2E02,,2
186763432,category,2E03,,2
1138224766,category,2E04,,2
914657949,category,2E05,,2
2139920471,category,2E05.0,,2
,category,2E05.Y,,2
,category,2E05.Z,,2
770549239,category,2E06,,2
449271235,category,2E07,,2
2026855228,category,2E08,,2
1458482846,category,2E09,,2
,category,2E0Y,,2
,category,2E2Z,,2
531713107,block,,BlockL1-2E6,2
693409079,category,2E60,,2
2005274000,category,1F61,,1
17842540,category,1F62,,1
839653996,category,1F63,,1
315473926,category,1F63.0,,1
,category,1F63.Y,,1
,category,1F63.Z,,1
1662537619,category,1F64,,1
580098307,category,1F65,,1
1975325075,category,1F66,,1
709184369,category,1F66.0,,1
1504434405,category,1F66.1,,1
1373005257,category,1F66.2,,1
247221550,category,1F66.3,,1
1592269710,category,1F66.30,,1
1000592924,category,1F66.31,,1
1326352101,category,1F66.32,,1
,category,1F66.3Z,,1
813571137,category,1F66.4,,1
,category,1F66.Y,,1
,category,1F66.Z,,1
263366843,category,1F67,,1
1133998897,category,1F68,,1
1542252776,category,1F68.0,,1
652000933,category,1F68.1,,1
657025682,category,1F68.2,,1
1664841973,category,1F69,,1
106136071,category,1F6A,,1
125842620,category,1F6A.0,,1
195163840,category,1F6A.1,,1
,category,1F6A.Y,,1
2088326190,category,1F6B,,1
